Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
PAVIA;PAVIA;Lombardia;Istituto di Geografia;2014;2014-08-22T22:18:17Z;2776038314;9.1575608;45.1864981
PAVIA;PAVIA;Lombardia;Istituto di Zoologia Lazzaro Spallanzani;2011;2011-12-10T18:49:29Z;681739675;9.1509737;45.1885170999999
PAVIA;PAVIA;Lombardia;Palazzo del Mayno;2010;2010-04-06T11:00:11Z;686513694;9.1580279;45.1859933
PAVIA;PAVIA;Lombardia;Polo Scientifico Università di Pavia;2015;2015-12-02T14:39:06Z;479748388;9.13762539999999;45.202579
PAVIA;PAVIA;Lombardia;Università di Pavia;2014;2014-04-07T20:12:17Z;567450376;9.1568708;45.1871122
PAVIA;PAVIA;Lombardia;Università di Pavia - Facoltà di Botanica;2011;2011-06-16T11:33:13Z;207559055;9.1635008;45.1853594999999
MANTOVA;MANTOVA;Lombardia;Politecnico di Milano - Sede di Mantova;2013;2013-09-16T20:10:18Z;2457744987;10.7874602;45.1604158999999
BOLZANO;BOLZANO;Trentino-Alto Adige;UniBz Language Center;2015;2015-08-04T19:09:50Z;1408964424;11.3497188999999;46.4964920999999
GARNIGA TERME;TRENTO;Trentino-Alto Adige;Fondazione Mach - Centro di Ecologia Alpina;2009;2009-09-21T10:45:25Z;454224091;11.0539264;46.0144248
TRENTO;TRENTO;Trentino-Alto Adige;Rettorato - Università di Trento;2014;2014-04-07T22:28:25Z;2776349948;11.1230218999999;46.0667722
VERONA;VERONA;Veneto;Accademia di Belle Arti Cignaroli;2012;2012-01-26T19:43:38Z;1502679103;10.9928608;45.4348389999999
VERONA;VERONA;Veneto;Facoltà di Giurisprudenza;2012;2012-01-26T19:43:38Z;1502679144;10.9924436;45.4343441999999
VERONA;VERONA;Veneto;Facoltà di Scienze Motorie;2013;2013-02-15T20:42:44Z;1565502624;11.0316744999999;45.4450075999999
RONCADE;TREVISO;Veneto;H-Farm;2015;2015-08-04T10:11:05Z;3673038833;12.4277000999999;45.5645073
MIRA;CITTA' METROPOLITANA DI VENEZIA;Veneto;Ca' Foscari;2011;2011-01-26T01:29:03Z;1120722385;12.1689346999999;45.4497597
VENEZIA;CITTA' METROPOLITANA DI VENEZIA;Veneto;Ca' Cappello;2014;2014-11-25T22:35:07Z;3205382999;12.3300248;45.4362961
VENEZIA;CITTA' METROPOLITANA DI VENEZIA;Veneto;Ca' Cappello;2014;2014-11-25T22:35:07Z;3205382999;12.3300248;45.4362961
VENEZIA;CITTA' METROPOLITANA DI VENEZIA;Veneto;Università Ca' Foscari;2014;2014-11-26T21:05:11Z;2712904541;12.3264484;45.4344956999999
VENEZIA;CITTA' METROPOLITANA DI VENEZIA;Veneto;Università Ca' Foscari;2014;2014-11-26T21:05:11Z;2712904541;12.3264484;45.4344956999999
VENEZIA;CITTA' METROPOLITANA DI VENEZIA;Veneto;Università Iuav di Venezia;2015;2015-03-21T13:46:03Z;3204578997;12.2550534;45.4796418
VENEZIA;CITTA' METROPOLITANA DI VENEZIA;Veneto;Università Iuav di Venezia;2015;2015-03-21T13:46:03Z;3204578997;12.2550534;45.4796418
PADOVA;PADOVA;Veneto;Accademia Galileiana di Scienze Lettere e Arti;2011;2011-10-25T23:23:40Z;1459283521;11.8708636999999;45.4073579
PADOVA;PADOVA;Veneto;ASU;2014;2014-03-31T14:19:56Z;2756183897;11.8813400999999;45.4050721999999
PADOVA;PADOVA;Veneto;"Aula studio """"Jappelli""""";2012;2012-10-29T11:27:43Z;599365855;11.8850352;45.4082502999999
PADOVA;PADOVA;Veneto;Centro diritti umani - Università di Padova;2011;2011-10-08T19:23:25Z;1452345270;11.8759111;45.4100179
PADOVA;PADOVA;Veneto;Centro Linguistico di Ateneo;2015;2015-09-30T22:06:30Z;3721860416;11.8949520999999;45.4109072999999
PADOVA;PADOVA;Veneto;Centro Multimediale d'Ateneo;2014;2014-08-09T16:16:28Z;1473145492;11.8768215;45.4036716
PADOVA;PADOVA;Veneto;Cisspat;2015;2015-03-01T16:26:27Z;3378099698;11.8780804;45.4155182
PADOVA;PADOVA;Veneto;Dipartimento di Scienze Statistiche;2016;2016-01-03T20:22:11Z;3926012097;11.8841912;45.4045332
