Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
PISA;PISA;Toscana;Scuola Superiore Sant'Anna;2014;2014-02-08T23:19:24Z;1677276904;10.4026444;43.7206078
PISA;PISA;Toscana;Segreterie studenti;2015;2015-07-04T19:25:36Z;3634511305;10.4089115;43.7202811
PISA;PISA;Toscana;Università di Pisa - Rettorato;2015;2015-07-23T08:16:07Z;3483952525;10.3988628;43.7166462
SAN GIULIANO TERME;PISA;Toscana;PERCRO, Scuola superiore Sant'Anna;2013;2013-10-16T13:15:50Z;2426888658;10.4222952;43.7292355
AREZZO;AREZZO;Toscana;Facoltà di Economia (Sede Arezzo);2010;2010-05-12T21:45:54Z;731482593;11.8765603;43.4652567999999
AREZZO;AREZZO;Toscana;Facoltà di Ingegneria  (Sede Arezzo);2010;2010-05-12T21:45:54Z;731482592;11.8762649;43.4653205999999
SAN GIOVANNI VALDARNO;AREZZO;Toscana;Scuola infermieri;2012;2012-03-03T11:20:00Z;254063069;11.5296337999999;43.5625095999999
SIENA;SIENA;Toscana;Facoltà di Lettere e Filosofia;2012;2012-06-22T00:44:39Z;215646877;11.3383398;43.3167724999999
SIENA;SIENA;Toscana;Università per Stranieri di Siena;2014;2014-03-06T11:27:22Z;1101407536;11.3215102;43.3314122
GROSSETO;GROSSETO;Toscana;Universita di Siena a Grosseto;2012;2012-10-13T13:58:51Z;1962592721;11.1147578;42.7617781
ASSISI;PERUGIA;Umbria;Facoltà di Economia Del Turismo;2013;2013-08-24T01:43:14Z;2429703803;12.5822083;43.0523054
ASSISI;PERUGIA;Umbria;Istituto Teologico di Assisi;2014;2014-08-10T15:49:58Z;3008872880;12.6048072;43.0751786
PERUGIA;PERUGIA;Umbria;Facoltà di Ingegneria;2011;2011-06-01T14:49:17Z;247280642;12.3553307;43.1189053
PERUGIA;PERUGIA;Umbria;Università per Stranieri di Perugia;2014;2014-01-06T14:55:45Z;2612279404;12.3895193;43.1148525999999
VITERBO;VITERBO;Lazio;Università degli Studi della Tuscia;2009;2009-03-27T13:31:09Z;366184573;12.1128475;42.4138646999999
VITERBO;VITERBO;Lazio;Università degli Studi della Tuscia;2010;2010-06-19T17:55:20Z;675608652;12.102221;42.4127975
VITERBO;VITERBO;Lazio;Università degli Studi della Tuscia;2010;2010-11-20T11:32:40Z;366528953;12.0927953;42.4272927999999
CITTADUCALE;RIETI;Lazio;Università degli Studi della Tuscia;2013;2013-11-15T12:46:14Z;2533535903;12.9538317;42.3837376
RIETI;RIETI;Lazio;Sabina Universitas;2015;2015-12-05T18:04:51Z;1298268496;12.8603276;42.4026861999999
ALLUMIERE;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Centro Residenziale Studi e Ricerche;2015;2015-12-15T10:23:30Z;3893172838;11.9086368999999;42.1503832
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Botanica;2011;2011-04-29T12:10:38Z;1264866005;12.5175392999999;41.902777
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Botanica;2011;2011-04-29T12:10:38Z;1264866005;12.5175392999999;41.902777
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Dipartimento Scienze Statistiche;2013;2013-10-10T21:18:56Z;2491620503;12.515464;41.9040439999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Dipartimento Scienze Statistiche;2013;2013-10-10T21:18:56Z;2491620503;12.515464;41.9040439999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Facoltà di Medicina;2011;2011-04-24T00:38:20Z;1241426475;12.6339132;41.8565637
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Facoltà di Medicina;2011;2011-04-24T00:38:20Z;1241426475;12.6339132;41.8565637
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Fisiologia Generale;2011;2011-04-29T18:45:56Z;1265207809;12.5162884;41.9040614999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Fisiologia Generale;2011;2011-04-29T18:45:56Z;1265207809;12.5162884;41.9040614999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Genetica;2011;2011-04-29T12:10:38Z;1264866004;12.5165639;41.9026641
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Genetica;2011;2011-04-29T12:10:38Z;1264866004;12.5165639;41.9026641
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Ortopedia;2011;2011-04-15T18:21:29Z;1245949878;12.5128097999999;41.9020652
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Ortopedia;2011;2011-04-15T18:21:29Z;1245949878;12.5128097999999;41.9020652
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Pontificia Università della Santa Croce;2014;2014-04-19T19:20:54Z;2144627661;12.4734914;41.9006887999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Pontificia Università della Santa Croce;2014;2014-04-19T19:20:54Z;2144627661;12.4734914;41.9006887999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Pontificio Istituto Biblico;2014;2014-06-27T12:11:42Z;2175094020;12.4836393999999;41.8988026999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Pontificio Istituto Biblico;2014;2014-06-27T12:11:42Z;2175094020;12.4836393999999;41.8988026999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;RomaTre - Facoltà di Scienze Della Formazione;2011;2011-11-25T01:28:40Z;246569536;12.4792632;41.8636180999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;RomaTre - Facoltà di Scienze Della Formazione;2011;2011-11-25T01:28:40Z;246569536;12.4792632;41.8636180999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Tor Vergata facoltà di Scienze;2015;2015-05-18T21:13:28Z;309801932;12.6057963;41.8519773
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Tor Vergata facoltà di Scienze;2015;2015-05-18T21:13:28Z;309801932;12.6057963;41.8519773
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Università La Sapienza sede distaccata Architet;2012;2012-09-20T15:37:14Z;261852636;12.4757374999999;41.9040213999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Università La Sapienza sede distaccata Architet;2012;2012-09-20T15:37:14Z;261852636;12.4757374999999;41.9040213999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Università Sapienza di Roma - Facoltà di Infor;2008;2008-09-29T19:04:28Z;261736886;12.4971175999999;41.9142198999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Università Sapienza di Roma - Facoltà di Infor;2008;2008-09-29T19:04:28Z;261736886;12.4971175999999;41.9142198999999
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Università Sapienza - Distaccamento Facoltà di;2015;2015-09-26T08:40:06Z;2128990512;12.5176584;41.8991606
ROMA;CITTA' METROPOLITANA DI ROMA CAPITALE;Lazio;Università Sapienza - Distaccamento Facoltà di;2015;2015-09-26T08:40:06Z;2128990512;12.5176584;41.8991606
CASERTA;CASERTA;Campania;Seconda Università di Napoli, Facoltà di Studi;2011;2011-12-05T21:47:12Z;1533280282;14.3170751;41.1010697999999
NAPOLI;CITTA' METROPOLITANA DI NAPOLI;Campania;"Università degli Studi di Napoli """"L'Orientale""""";2015;2015-05-05T21:25:16Z;3500019328;14.2602998;40.8452283
TORRE ANNUNZIATA;CITTA' METROPOLITANA DI NAPOLI;Campania;Università Giurisprudenza Napoli - Preparazioni;2016;2016-02-19T09:20:48Z;4014215632;14.4625825;40.7495806
FISCIANO;SALERNO;Campania;Università degli studi di Salerno;2010;2010-10-22T17:42:54Z;960527598;14.7905251999999;40.7721832
CHIETI;CHIETI;Abruzzo;Università degli Studi di Chieti 'G. D'Annunzio;2014;2014-12-02T22:03:30Z;111980293;14.1510341;42.3677568
FOGGIA;FOGGIA;Puglia;Università degli Studi di Foggia - Facoltà di;2011;2011-12-06T16:41:33Z;1534266061;15.5200236;41.4514696
BARI;CITTA' METROPOLITANA DI BARI;Puglia;Accademia di Belle Arti di Bari;2014;2014-04-01T10:17:34Z;1197995049;16.8763706999999;41.1111308999999
BARI;CITTA' METROPOLITANA DI BARI;Puglia;biotechnology faculty;2014;2014-11-14T20:49:27Z;1817880405;16.8791659;41.1047713
BARI;CITTA' METROPOLITANA DI BARI;Puglia;Politecnico di Bari;2010;2010-08-08T15:48:51Z;849689760;16.8832334999999;41.1113836999999
MATERA;MATERA;Basilicata;Università della Basilicata, Facoltà di Archit;2013;2013-10-27T07:21:22Z;2507779701;16.5974955;40.6711661
RENDE;COSENZA;Calabria;Aula P1;2014;2014-04-01T13:31:24Z;2758337554;16.2254815999999;39.3653215
RENDE;COSENZA;Calabria;Aula P2 Occupata;2016;2016-01-27T19:46:20Z;2758337553;16.2254551;39.3654478999999
RENDE;COSENZA;Calabria;Aula P3;2014;2014-04-01T13:31:24Z;2758337552;16.2253712;39.366008
RENDE;COSENZA;Calabria;Aula P4;2014;2014-04-01T13:31:24Z;2758337551;16.2253535;39.366131
RENDE;COSENZA;Calabria;LabInf2;2014;2014-04-01T14:57:40Z;2758425618;16.2257214999999;39.3653825999999
PALERMO;CITTA' METROPOLITANA DI PALERMO;Sicilia;Consorzio ARCA;2013;2013-09-17T20:52:53Z;2462145631;13.3444453;38.1005182
LIPARI;CITTA' METROPOLITANA DI MESSINA;Sicilia;Centro INGV Stromboli;2015;2015-03-29T14:21:07Z;3419458986;15.2406788;38.8007692999999
SASSARI;SASSARI;Sardegna;Polo Umanistico dell'Università di Sassari;2013;2013-07-19T23:20:18Z;2387574309;8.5698554;40.7187642999999
NUORO;NUORO;Sardegna;Polo di Scienze Forestali - Università di Sassa;2014;2014-05-12T23:26:11Z;1693378514;9.3104899;40.3128187
CAGLIARI;CAGLIARI;Sardegna;;2015;2015-03-16T18:34:37Z;3402272230;9.112202;39.2288384
CAGLIARI;CAGLIARI;Sardegna;;2015;2015-03-16T18:34:37Z;3402272230;9.112202;39.2288384
CAGLIARI;CAGLIARI;Sardegna;;2015;2015-03-16T18:34:37Z;3402272230;9.112202;39.2288384
CAGLIARI;CAGLIARI;Sardegna;;2015;2015-03-16T18:34:37Z;3402272231;9.11198959999999;39.2289657
CAGLIARI;CAGLIARI;Sardegna;;2015;2015-03-16T18:34:37Z;3402272231;9.11198959999999;39.2289657
CAGLIARI;CAGLIARI;Sardegna;;2015;2015-03-16T18:34:37Z;3402272231;9.11198959999999;39.2289657
CAGLIARI;CAGLIARI;Sardegna;;2015;2015-03-16T18:34:37Z;3402272232;9.11180519999999;39.2290929999999
CAGLIARI;CAGLIARI;Sardegna;;2015;2015-03-16T18:34:37Z;3402272232;9.11180519999999;39.2290929999999
CAGLIARI;CAGLIARI;Sardegna;;2015;2015-03-16T18:34:37Z;3402272232;9.11180519999999;39.2290929999999
CAGLIARI;CAGLIARI;Sardegna;Centro Linguistico di Ateneo;2011;2011-06-21T16:52:41Z;411494020;9.1137113;39.2275734999999
CAGLIARI;CAGLIARI;Sardegna;Centro Linguistico di Ateneo;2011;2011-06-21T16:52:41Z;411494020;9.1137113;39.2275734999999
CAGLIARI;CAGLIARI;Sardegna;Centro Linguistico di Ateneo;2011;2011-06-21T16:52:41Z;411494020;9.1137113;39.2275734999999
CAGLIARI;CAGLIARI;Sardegna;Università di Cagliari (ex clinica Aresu);2014;2014-02-18T07:55:44Z;2444677131;9.11476749999999;39.2213611
CAGLIARI;CAGLIARI;Sardegna;Università di Cagliari (ex clinica Aresu);2014;2014-02-18T07:55:44Z;2444677131;9.11476749999999;39.2213611
CAGLIARI;CAGLIARI;Sardegna;Università di Cagliari (ex clinica Aresu);2014;2014-02-18T07:55:44Z;2444677131;9.11476749999999;39.2213611
PORDENONE;PORDENONE;Friuli-Venezia Giulia;Consorzio universitario di Pordenone;2012;2012-10-28T15:42:57Z;1590158574;12.6806924999999;45.9525343999999
PRATO;PRATO;Toscana;PIN;2015;2015-12-19T13:40:53Z;3899802233;11.0988214;43.8852856999999
PRATO;PRATO;Toscana;PIN;2015;2015-12-19T13:40:53Z;3899802234;11.0988214;43.8852856999999
VERANO BRIANZA;MONZA-BRIANZA;Lombardia;;2010;2010-01-30T17:19:48Z;623415445;9.221888;45.6769358999999
FERMO;FERMO;Marche;Università degli Studi di Macerata - Dipartimen;2012;2012-03-26T06:25:18Z;615077992;13.7219271;43.1591159999999
FERMO;FERMO;Marche;Università Politecnica delle Marche - Facoltà;2012;2012-03-26T06:25:18Z;615077990;13.7222437999999;43.1588695
